97,46,770,2,144,"main@51-195@usr.bin/apply/apply.c","usr.bin/apply/apply.c","main",51,195
36,8,250,1,37,"mysystem@203-240@usr.bin/apply/apply.c","usr.bin/apply/apply.c","mysystem",203,240
6,1,21,1,5,"usage@243-248@usr.bin/apply/apply.c","usr.bin/apply/apply.c","usage",243,248
34,8,159,2,35,"main@38-73@usr.bin/arch/arch.c","usr.bin/arch/arch.c","main",38,73
8,2,30,1,7,"usage@76-83@usr.bin/arch/arch.c","usr.bin/arch/arch.c","usage",76,83
10,2,47,2,12,"fatal@101-113@usr.bin/at/at.c","usr.bin/at/at.c","fatal",101,113
10,2,47,2,12,"fatalx@119-131@usr.bin/at/at.c","usr.bin/at/at.c","fatalx",119,131
6,2,24,1,7,"sigc@135-142@usr.bin/at/at.c","usr.bin/at/at.c","sigc",135,142
12,6,91,3,12,"strtot@145-157@usr.bin/at/at.c","usr.bin/at/at.c","strtot",145,157
13,3,87,2,18,"newjob@160-178@usr.bin/at/at.c","usr.bin/at/at.c","newjob",160,178
121,44,907,3,187,"writefile@185-372@usr.bin/at/at.c","usr.bin/at/at.c","writefile",185,372
6,1,55,2,6,"byctime@376-382@usr.bin/at/at.c","usr.bin/at/at.c","byctime",376,382
8,2,74,2,8,"byjobno@386-394@usr.bin/at/at.c","usr.bin/at/at.c","byjobno",386,394
26,5,212,3,27,"print_job@397-424@usr.bin/at/at.c","usr.bin/at/at.c","print_job",397,424
126,50,910,4,157,"list_jobs@434-591@usr.bin/at/at.c","usr.bin/at/at.c","list_jobs",434,591
9,4,54,1,9,"rmok@594-603@usr.bin/at/at.c","usr.bin/at/at.c","rmok",594,603
116,48,804,3,134,"process_jobs@611-745@usr.bin/at/at.c","usr.bin/at/at.c","process_jobs",611,745
68,23,407,1,75,"ttime@753-828@usr.bin/at/at.c","usr.bin/at/at.c","ttime",753,828
25,6,82,1,25,"usage@831-856@usr.bin/at/at.c","usr.bin/at/at.c","usage",831,856
